,#iteration,L1 norm of errors(log) on nodes,L2 norm of errors(log) on nodes,planning time,execution time
0,1,inf,inf,19.47,9581.36
1,2,inf,inf,17.603,9558.88
2,3,inf,inf,16.37,9558.764
3,4,inf,inf,17.146,9644.399
4,5,inf,inf,16.854,9661.395
5,6,inf,inf,15.528,9522.796
6,7,inf,inf,16.743,9643.419
7,8,inf,inf,16.422,9685.862
8,9,inf,inf,16.656,9637.27
9,10,inf,inf,16.524,9595.238
10,11,inf,inf,16.914,9682.721
11,12,inf,inf,16.811,9564.08
12,13,inf,inf,16.482,9582.546
13,14,inf,inf,17.37,9580.252
14,15,inf,inf,16.657,9610.005
15,16,inf,inf,15.771,9611.689
16,17,inf,inf,17.749,9593.311
17,18,inf,inf,18.917,9580.177
18,19,inf,inf,15.473,9726.586
19,20,inf,inf,17.237,9591.966
20,21,inf,inf,17.01,9658.663
21,22,inf,inf,15.963,9530.728
22,23,inf,inf,17.625,9586.507
23,24,inf,inf,17.581,9554.129
24,25,inf,inf,17.183,9540.27
25,26,inf,inf,16.472,9564.162
26,27,inf,inf,16.294,9641.712
27,28,inf,inf,16.851,9762.253
28,29,inf,inf,17.102,9627.406
29,30,inf,inf,16.042,9872.903
30,31,inf,inf,16.102,9636.444
31,32,inf,inf,16.681,9746.16
32,33,inf,inf,17.016,9628.892
33,34,inf,inf,16.69,9520.989
34,35,inf,inf,16.16,9537.604
35,36,inf,inf,17.578,9607.227
36,37,inf,inf,16.483,9579.641
37,38,inf,inf,17.214,9497.926
38,39,inf,inf,15.887,9631.686
39,40,inf,inf,16.057,9574.177
40,41,inf,inf,16.021,9630.617
41,42,inf,inf,16.684,9648.378
42,43,inf,inf,16.579,9512.675
43,44,inf,inf,16.167,9452.957
44,45,inf,inf,17.885,9557.289
45,46,inf,inf,16.837,9629.32
46,47,inf,inf,16.588,9522.923
47,48,inf,inf,16.68,9643.334
48,49,inf,inf,17.716,9700.403
49,50,inf,inf,17.725,9705.414
50,51,inf,inf,16.096,10060.195
51,52,inf,inf,17.701,10103.407
52,53,inf,inf,17.089,10114.608
53,54,inf,inf,16.232,10114.043
54,55,inf,inf,17.859,9961.373
55,56,inf,inf,17.868,9706.653
56,57,inf,inf,16.514,9589.648
57,58,inf,inf,16.923,9572.126
58,59,inf,inf,16.44,9694.769
59,60,inf,inf,17.006,9646.352
60,61,inf,inf,18.666,9698.965
61,62,inf,inf,15.897,9533.306
62,63,inf,inf,19.716,9725.657
63,64,inf,inf,16.047,9642.961
64,65,inf,inf,16.203,9586.305
65,66,inf,inf,17.196,9575.084
66,67,inf,inf,15.917,9635.027
67,68,inf,inf,16.395,9570.781
68,69,inf,inf,15.31,9585.466
69,70,inf,inf,16.711,9559.407
70,71,inf,inf,17.077,9577.431
71,72,inf,inf,17.828,9616.705
72,73,inf,inf,17.518,9895.358
73,74,inf,inf,17.372,9736.947
74,75,inf,inf,16.31,9549.064
75,76,inf,inf,17.06,9633.327
76,77,inf,inf,15.631,9592.559
77,78,inf,inf,16.162,9519.651
78,79,inf,inf,15.907,9620.83
79,80,inf,inf,17.191,9540.741
80,81,inf,inf,16.837,9586.404
81,82,inf,inf,17.517,9589.256
82,83,inf,inf,17.214,9618.675
83,84,inf,inf,17.694,9686.398
84,85,inf,inf,18.262,9658.68
85,86,inf,inf,16.396,9616.415
86,87,inf,inf,17.588,9604.355
87,88,inf,inf,17.047,9768.208
88,89,inf,inf,16.064,9693.815
89,90,inf,inf,16.073,9689.125
90,91,inf,inf,16.959,9621.357
91,92,inf,inf,15.229,9705.053
92,93,inf,inf,15.998,9597.172
93,94,inf,inf,16.522,9658.805
94,95,inf,inf,16.159,9784.311
95,96,inf,inf,18.177,9606.513
96,97,inf,inf,16.816,9585.408
97,98,inf,inf,17.099,9742.412
98,99,inf,inf,16.837,9559.011
99,100,inf,inf,16.482,9606.675
