,#iteration,L1 norm of errors(log) on nodes,L2 norm of errors(log) on nodes,planning time,execution time
0,1,inf,inf,20.301,9664.783
1,2,inf,inf,16.646,9643.272
2,3,inf,inf,16.125,9728.719
3,4,inf,inf,18.648,9790.171
4,5,inf,inf,17.187,9617.357
5,6,inf,inf,16.575,9657.406
6,7,inf,inf,16.534,9675.983
7,8,inf,inf,16.275,9618.542
8,9,inf,inf,16.543,9621.487
9,10,inf,inf,18.199,9573.978
10,11,inf,inf,17.435,9549.648
11,12,inf,inf,16.483,9560.901
12,13,inf,inf,17.113,9603.727
13,14,inf,inf,16.782,9699.114
14,15,inf,inf,16.613,9641.873
15,16,inf,inf,16.468,9714.344
16,17,inf,inf,17.949,9581.697
17,18,inf,inf,17.219,9627.407
18,19,inf,inf,17.767,9817.873
19,20,inf,inf,17.099,9695.531
20,21,inf,inf,16.322,9820.757
21,22,inf,inf,15.832,9844.891
22,23,inf,inf,16.738,9754.009
23,24,inf,inf,17.288,9723.511
24,25,inf,inf,17.796,9804.141
25,26,inf,inf,17.406,9770.812
26,27,inf,inf,16.72,9790.179
27,28,inf,inf,16.857,9740.698
28,29,inf,inf,17.1,9602.046
29,30,inf,inf,17.655,9696.779
30,31,inf,inf,17.201,9864.507
31,32,inf,inf,18.278,10023.386
32,33,inf,inf,17.065,9780.318
33,34,inf,inf,18.286,9927.646
34,35,inf,inf,17.053,9916.718
35,36,inf,inf,17.521,9802.061
36,37,inf,inf,17.785,9871.212
37,38,inf,inf,17.31,9885.249
38,39,inf,inf,17.034,9828.989
39,40,inf,inf,17.179,9859.836
40,41,inf,inf,16.653,9829.66
41,42,inf,inf,17.201,9907.704
42,43,inf,inf,18.147,9903.41
43,44,inf,inf,16.425,9750.658
44,45,inf,inf,16.373,9719.606
45,46,inf,inf,15.975,9620.855
46,47,inf,inf,16.728,9799.46
47,48,inf,inf,16.457,9644.324
48,49,inf,inf,16.98,9816.743
49,50,inf,inf,17.443,9913.681
50,51,inf,inf,16.835,9874.578
51,52,inf,inf,18.947,9818.301
52,53,inf,inf,17.274,9967.304
53,54,inf,inf,18.266,9712.313
54,55,inf,inf,16.971,9894.994
55,56,inf,inf,17.203,9957.798
56,57,inf,inf,16.771,9902.773
57,58,inf,inf,17.468,9809.625
58,59,inf,inf,16.52,9932.341
59,60,inf,inf,17.183,9780.216
60,61,inf,inf,16.959,9897.494
61,62,inf,inf,18.204,9836.532
62,63,inf,inf,18.521,9777.017
63,64,inf,inf,17.177,9832.389
64,65,inf,inf,17.058,9810.099
65,66,inf,inf,16.908,9612.475
66,67,inf,inf,17.344,9680.92
67,68,inf,inf,16.41,9764.493
68,69,inf,inf,17.384,9752.249
69,70,inf,inf,15.729,9811.034
70,71,inf,inf,17.673,9933.486
71,72,inf,inf,17.654,9710.18
72,73,inf,inf,17.847,9728.258
73,74,inf,inf,18.333,9820.189
74,75,inf,inf,16.07,9753.353
75,76,inf,inf,16.235,9747.021
76,77,inf,inf,17.134,9794.387
77,78,inf,inf,16.228,9677.318
78,79,inf,inf,16.639,9567.475
79,80,inf,inf,16.677,9665.657
80,81,inf,inf,17.685,9725.113
81,82,inf,inf,16.396,9670.634
82,83,inf,inf,16.395,9700.608
83,84,inf,inf,17.445,9634.523
84,85,inf,inf,17.357,9633.364
85,86,inf,inf,16.675,9656.746
86,87,inf,inf,16.889,9743.394
87,88,inf,inf,16.037,9594.505
88,89,inf,inf,17.015,9773.673
89,90,inf,inf,17.055,9545.919
90,91,inf,inf,17.009,9597.144
91,92,inf,inf,15.802,9606.706
92,93,inf,inf,16.788,9572.333
93,94,inf,inf,16.164,9561.173
94,95,inf,inf,16.798,9507.103
95,96,inf,inf,16.138,10004.438
96,97,inf,inf,19.632,9530.04
97,98,inf,inf,17.044,9908.776
98,99,inf,inf,16.947,9843.219
99,100,inf,inf,18.134,9778.384
100,101,inf,inf,16.442,9964.209
101,102,inf,inf,17.502,9912.414
102,103,inf,inf,17.579,9913.764
103,104,inf,inf,16.763,9783.66
104,105,inf,inf,17.43,9752.743
105,106,inf,inf,17.968,9814.189
106,107,inf,inf,16.757,9848.484
107,108,inf,inf,16.88,9700.233
108,109,inf,inf,15.841,9594.728
109,110,inf,inf,16.708,9689.452
110,111,inf,inf,21.029,10031.575
111,112,inf,inf,16.372,10068.15
112,113,inf,inf,17.296,9984.659
113,114,inf,inf,16.656,9750.861
114,115,inf,inf,16.722,9811.43
115,116,inf,inf,17.017,9742.486
116,117,inf,inf,18.064,9956.456
117,118,inf,inf,15.942,9944.318
118,119,inf,inf,18.076,9718.099
119,120,inf,inf,18.055,9907.114
120,121,inf,inf,16.972,9980.156
121,122,inf,inf,17.133,10143.003
122,123,inf,inf,17.646,9757.268
123,124,inf,inf,16.803,9915.66
124,125,inf,inf,16.967,9692.076
125,126,inf,inf,16.226,10069.242
126,127,inf,inf,19.374,9726.138
127,128,inf,inf,16.246,9791.105
128,129,inf,inf,16.696,10025.911
129,130,inf,inf,17.162,10134.021
130,131,inf,inf,16.827,9771.823
131,132,inf,inf,18.022,10008.252
132,133,inf,inf,17.466,9765.16
133,134,inf,inf,17.573,9788.718
134,135,inf,inf,17.671,10002.213
135,136,inf,inf,16.014,9883.258
136,137,inf,inf,17.469,9940.497
137,138,inf,inf,17.189,9897.709
138,139,inf,inf,18.033,9855.218
139,140,inf,inf,16.282,9872.805
140,141,inf,inf,17.737,9789.627
141,142,inf,inf,18.697,9937.574
142,143,inf,inf,17.27,10023.443
143,144,inf,inf,17.018,9815.687
144,145,inf,inf,18.317,9959.041
145,146,inf,inf,17.468,9716.891
