,#iteration,L1 norm of errors(log) on nodes,L2 norm of errors(log) on nodes,planning time,execution time
0,1,inf,inf,19.33,9591.083
1,2,inf,inf,16.515,9769.567
2,3,inf,inf,18.267,9609.951
3,4,inf,inf,16.955,9564.288
4,5,inf,inf,15.991,9612.703
5,6,inf,inf,16.824,9644.201
6,7,inf,inf,16.491,9565.97
7,8,inf,inf,17.841,9665.308
8,9,inf,inf,16.291,9599.897
9,10,inf,inf,17.249,9600.952
10,11,inf,inf,17.227,9546.01
11,12,inf,inf,16.981,9679.806
12,13,inf,inf,16.382,9584.482
13,14,inf,inf,17.375,9577.047
14,15,inf,inf,16.01,9633.498
15,16,inf,inf,16.029,9653.982
16,17,inf,inf,16.834,9586.391
17,18,inf,inf,16.241,9619.812
18,19,inf,inf,17.536,9530.344
19,20,inf,inf,15.688,9627.09
20,21,inf,inf,16.389,9762.928
21,22,inf,inf,16.361,9637.85
22,23,inf,inf,16.916,9707.621
23,24,inf,inf,15.66,9657.925
24,25,inf,inf,18.019,9566.689
25,26,inf,inf,16.46,9614.418
26,27,inf,inf,16.164,9602.506
27,28,inf,inf,17.636,9556.923
28,29,inf,inf,17.348,9554.036
29,30,inf,inf,16.805,9662.448
30,31,inf,inf,16.952,9545.878
31,32,inf,inf,17.273,9676.449
32,33,inf,inf,17.532,9667.479
33,34,inf,inf,16.248,9654.835
34,35,inf,inf,16.911,9606.206
35,36,inf,inf,17.357,9644.094
36,37,inf,inf,17.131,9690.026
37,38,inf,inf,17.662,9652.48
38,39,inf,inf,16.604,9627.88
39,40,inf,inf,16.629,9679.856
40,41,inf,inf,16.169,9600.464
41,42,inf,inf,16.456,9688.217
42,43,inf,inf,16.604,9803.655
43,44,inf,inf,17.69,9711.388
44,45,inf,inf,16.896,9765.986
45,46,inf,inf,17.229,9700.892
46,47,inf,inf,16.415,9800.936
47,48,inf,inf,17.001,9609.368
48,49,inf,inf,16.789,9584.972
49,50,inf,inf,17.249,9553.569
50,51,inf,inf,16.25,9542.998
51,52,inf,inf,18.13,9628.802
52,53,inf,inf,16.429,9629.0
53,54,inf,inf,15.787,9639.369
54,55,inf,inf,16.075,9677.545
55,56,inf,inf,16.348,9500.561
56,57,inf,inf,17.644,9470.064
57,58,inf,inf,18.911,9573.027
58,59,inf,inf,16.293,9556.832
59,60,inf,inf,16.36,9525.183
60,61,inf,inf,16.002,9571.87
61,62,inf,inf,17.428,9533.794
62,63,inf,inf,16.535,9532.865
63,64,inf,inf,15.781,9539.849
64,65,inf,inf,16.1,9595.998
65,66,inf,inf,16.729,9561.913
66,67,inf,inf,18.713,9452.097
67,68,inf,inf,17.713,9644.572
68,69,inf,inf,23.158,9604.995
69,70,inf,inf,17.595,9560.561
70,71,inf,inf,16.05,9578.884
71,72,inf,inf,16.882,9604.663
72,73,inf,inf,16.584,9637.262
73,74,inf,inf,16.301,9645.391
74,75,inf,inf,16.713,9619.124
75,76,inf,inf,15.326,9605.776
76,77,inf,inf,16.343,9645.049
77,78,inf,inf,15.477,9499.798
78,79,inf,inf,17.379,9489.326
79,80,inf,inf,16.326,9581.625
80,81,inf,inf,16.115,9543.83
81,82,inf,inf,17.323,9526.78
82,83,inf,inf,16.023,9563.309
83,84,inf,inf,17.789,9632.669
84,85,inf,inf,17.628,9657.079
85,86,inf,inf,15.537,9628.9
86,87,inf,inf,16.785,9636.527
87,88,inf,inf,16.922,9640.973
88,89,inf,inf,16.549,9640.425
89,90,inf,inf,17.082,9541.327
90,91,inf,inf,16.019,9503.575
91,92,inf,inf,16.287,9592.381
92,93,inf,inf,17.793,9773.665
93,94,inf,inf,16.15,9764.815
94,95,inf,inf,17.512,9677.248
95,96,inf,inf,16.352,9608.34
96,97,inf,inf,17.201,9594.698
97,98,inf,inf,15.78,9556.809
98,99,inf,inf,16.83,9769.332
99,100,inf,inf,15.713,9557.182
100,101,inf,inf,16.801,9670.231
101,102,inf,inf,16.267,9664.187
102,103,inf,inf,16.86,9634.724
103,104,inf,inf,17.174,9681.044
104,105,inf,inf,17.067,9699.683
105,106,inf,inf,16.032,9535.86
106,107,inf,inf,17.317,9530.682
107,108,inf,inf,17.037,9619.581
108,109,inf,inf,17.249,9582.516
109,110,inf,inf,17.35,9639.769
110,111,inf,inf,17.485,9667.079
111,112,inf,inf,16.797,9569.284
112,113,inf,inf,16.809,9555.727
113,114,inf,inf,16.466,9612.571
114,115,inf,inf,18.392,9653.756
115,116,inf,inf,16.332,9618.123
116,117,inf,inf,16.841,9588.349
117,118,inf,inf,16.845,9636.695
118,119,inf,inf,16.525,9598.52
119,120,inf,inf,18.031,9557.564
120,121,inf,inf,16.564,9586.484
121,122,inf,inf,16.691,9598.089
122,123,inf,inf,16.795,9514.065
123,124,inf,inf,17.12,9688.01
124,125,inf,inf,17.445,9551.915
125,126,inf,inf,16.761,9535.682
126,127,inf,inf,16.541,9597.855
127,128,inf,inf,23.267,9536.687
128,129,inf,inf,19.068,9570.046
129,130,inf,inf,22.357,9618.868
130,131,inf,inf,17.232,9516.094
131,132,inf,inf,16.796,9607.156
132,133,inf,inf,17.419,9683.979
133,134,inf,inf,17.607,9586.287
134,135,inf,inf,16.263,9628.311
135,136,inf,inf,17.158,9750.777
136,137,inf,inf,16.952,9687.185
137,138,inf,inf,17.101,9621.799
138,139,inf,inf,16.398,9619.463
139,140,inf,inf,15.867,9556.005
140,141,inf,inf,16.902,9547.48
141,142,inf,inf,16.722,9669.841
142,143,inf,inf,17.428,9542.089
143,144,inf,inf,16.523,9561.731
144,145,inf,inf,17.579,9522.065
145,146,inf,inf,16.005,9664.052
146,147,inf,inf,16.687,9694.621
147,148,inf,inf,17.488,9625.679
148,149,inf,inf,17.269,9742.16
149,150,inf,inf,17.279,9557.354
150,151,inf,inf,17.489,9599.014
151,152,inf,inf,15.816,9538.885
152,153,inf,inf,16.218,9528.455
153,154,inf,inf,16.765,9577.335
154,155,inf,inf,16.115,9623.668
155,156,inf,inf,16.822,9442.348
156,157,inf,inf,17.747,9466.883
157,158,inf,inf,16.838,9598.779
158,159,inf,inf,16.503,9524.972
159,160,inf,inf,17.017,9553.678
160,161,inf,inf,16.528,9562.097
161,162,inf,inf,16.206,9588.165
162,163,inf,inf,16.351,9530.777
163,164,inf,inf,16.725,9623.041
164,165,inf,inf,16.319,9578.743
165,166,inf,inf,17.664,9552.267
166,167,inf,inf,16.296,9565.784
167,168,inf,inf,17.675,9513.902
168,169,inf,inf,16.64,9467.758
169,170,inf,inf,17.495,9558.226
170,171,inf,inf,16.245,9531.719
171,172,inf,inf,16.27,9499.617
172,173,inf,inf,16.686,9489.382
173,174,inf,inf,17.06,9666.005
174,175,inf,inf,19.672,9504.834
175,176,inf,inf,16.657,9493.754
176,177,inf,inf,16.898,9622.447
177,178,inf,inf,16.356,9592.026
178,179,inf,inf,16.044,9604.811
179,180,inf,inf,17.179,9667.786
180,181,inf,inf,15.635,9580.22
181,182,inf,inf,16.394,9497.81
182,183,inf,inf,18.435,9542.014
183,184,inf,inf,16.919,9585.983
184,185,inf,inf,17.118,9505.0
185,186,inf,inf,17.011,9638.626
186,187,inf,inf,16.325,9549.54
187,188,inf,inf,16.64,9541.939
188,189,inf,inf,17.8,9611.691
189,190,inf,inf,16.598,9624.915
190,191,inf,inf,16.472,9560.414
191,192,inf,inf,16.474,9501.765
192,193,inf,inf,16.864,9637.981
193,194,inf,inf,17.0,9560.596
194,195,inf,inf,16.819,9602.394
195,196,inf,inf,16.893,9676.799
196,197,inf,inf,17.127,9692.415
197,198,inf,inf,16.103,9485.333
198,199,inf,inf,17.172,9666.322
199,200,inf,inf,16.39,9497.439
